Date,Cases
2020-02-01,1
2020-02-02,1
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,1
2020-02-07,0
2020-02-08,1
2020-02-09,0
2020-02-10,3
2020-02-11,1
2020-02-12,1
2020-02-13,3
2020-02-14,2
2020-02-15,0
2020-02-16,0
2020-02-17,6
2020-02-18,9
2020-02-19,6
2020-02-20,9
2020-02-21,17
2020-02-22,21
2020-02-23,15
2020-02-24,41
2020-02-25,30
2020-02-26,47
2020-02-27,36 
2020-02-28,53
2020-02-29,50
2020-03-01,74
2020-03-02,76
2020-03-03,85
2020-03-04,90
2020-03-05,78
2020-03-06,77
2020-03-07,69
2020-03-08,87
